,Ticket #,Badge,Issue Date ,IssueTime,Plate,State,Make,Model,Violation, Description,Location,Meter, Fine ,Penalty,lat,lng
139,4120022814,837.0,2020-01-02,1321,DQL6799,MI,FORD,,A45,OVER LEGAL TIME LIMIT,500 BLK OF ASHLEY SO,,25.0,0.0,42.281419,-83.748478
140,4120022813,837.0,2020-01-02,1315,EVR2809,NY,HYUN,,A45,OVER LEGAL TIME LIMIT,500 BLK OF ASHLEY SO,,25.0,0.0,42.281419,-83.748478
141,4120022812,837.0,2020-01-02,1314,BBX249,MI,HOND,,A45,OVER LEGAL TIME LIMIT,500 BLK OF ASHLEY SO,,35.0,20.0,42.281419,-83.748478
142,4120022811,837.0,2020-01-02,1301,HPB2635,OH,HOND,,A45,OVER LEGAL TIME LIMIT,1300 BLK OF WILMOT C,,25.0,0.0,42.276481,-83.73101
143,4120022810,837.0,2020-01-02,1254,DFT0140,MI,CHEV,,A04,NO PRKNG ANYTME,1715 UNIV SOUTH,,25.0,0.0,42.281419,-83.748478
144,4120022809,837.0,2020-01-02,1202,DHJ1185,MI,HOND,,A29,OTHER,400 BLK OF FOURTH ST,,25.0,0.0,42.277807,-83.754808
145,4120022808,837.0,2020-01-02,1138,EEH3216,MI,TOYO,,A45,OVER LEGAL TIME LIMIT,600 BLK OF ASHLEY SO,,25.0,0.0,42.281419,-83.748478
146,4120022807,837.0,2020-01-02,1020,LHB8284,TX,CHEV,,A29,OTHER,1100 BLK OF PROSPECT,,35.0,20.0,42.26868,-83.735698
147,4120022806,837.0,2020-01-02,0938,CMW7461,MI,CHEV,,A29,OTHER,500 BLK OF WALNUT,,25.0,0.0,42.276727,-83.729128
148,4130020438,832.0,2020-01-02,1435,7LFV14,MI,HYUN,,A01,EXPIRED METER,400 BLK OF STATE SOU,3702,15.0,0.0,42.281419,-83.748478
149,4130020439,832.0,2020-01-02,1437,DJX0678,MI,CHEV,,A01,EXPIRED METER,400 BLK OF STATE SOU,3730,25.0,0.0,42.281419,-83.748478
150,4130020440,832.0,2020-01-02,1438,DWY1762,MI,FORD,,A01,EXPIRED METER,400 BLK OF STATE SOU,3734,25.0,0.0,42.281419,-83.748478
151,4130020441,832.0,2020-01-02,1442,BJ96F,MI,FORD,,A31,IMPROPER PARK,400 BLK OF STATE SOU,37397,25.0,0.0,42.281419,-83.748478
152,4130020442,832.0,2020-01-02,1443,AMV935,MI,GMC,,A01,EXPIRED METER,400 BLK OF STATE SOU,3737,25.0,0.0,42.281419,-83.748478
153,4130020443,832.0,2020-01-02,1445,BSH971,MI,FORD,,A29,OTHER,400 BLK OF STATE SOU,3733,35.0,0.0,42.281419,-83.748478
154,4130020444,832.0,2020-01-02,1501,EDB6604,MI,JEEP,,A01,EXPIRED METER,400 BLK OF THOMPSON,3504,25.0,35.0,42.277805,-83.743186
155,4130020445,832.0,2020-01-02,1519,AJE299,MI,HOND,,A01,EXPIRED METER,400 BLK OF JEFFERSON,3579,15.0,0.0,42.275581,-83.759037
156,4130020446,832.0,2020-01-02,1604,EAY5630,MI,SUBA,,A01,EXPIRED METER,700 BLK OF ARBOR,4522,15.0,0.0,42.27098,-83.740463
157,4130020447,832.0,2020-01-02,1625,EEH3195,MI,SAAB,,A01,EXPIRED METER,400 BLK OF MAYNARD,3589,25.0,35.0,42.277641,-83.741974
158,4090019468,822.0,2020-01-02,1012,DXJ8670,MI,MEBE,,A01,EXPIRED METER,200 BLK OF MAIN ST N,1317,15.0,0.0,42.282558,-83.748438
159,4090019469,822.0,2020-01-02,1016,DRY1407,MI,SUBA,,A01,EXPIRED METER,FARMER'S MARKET,1,25.0,0.0,42.284,-83.7462
160,4090019470,822.0,2020-01-02,1018,ECJ1057,MI,BMW,,A01,EXPIRED METER,FARMER'S MARKET,80,15.0,0.0,42.284,-83.7462
161,4090019471,822.0,2020-01-02,1020,DVV7394,MI,CHEV,,A01,EXPIRED METER,FARMER'S MARKET,33,25.0,0.0,42.284,-83.7462
162,4090019472,822.0,2020-01-02,1027,0MKR41,MI,CHEV,,A01,EXPIRED METER,LOT 10,6605,25.0,35.0,,
